TradingDate,Symbol,NAV,ReturnAccumulativeNAV,TradingDays,ChangeRatio,AvgTurnoverRate,Volume,MarketValue,y,IV,Ipostpbdt,PurchaseHouseholders,NetSales,Interest
2020/3/31,159901,4.8949,-0.083,22,-0.0822,0.032018,956820178,7643879060,0.0804,0.0201,2006/2/17,35503,5157314558,422260
2020/4/30,159901,5.2818,0.0771,21,0.0804,0.020186,575815270,8258203083,-0.0004,-0.0822,2006/2/17,35503,5157314558,422260
2020/5/29,159901,5.2963,0.0027,18,-0.0004,0.016247,397256359,8255076752,0.136,0.0804,2006/2/17,35503,5157314558,422260
2020/6/30,159901,6.0029,0.1305,20,0.136,0.018041,490119428,8294012012,0.1517,-0.0004,2006/2/17,35503,5157314558,422260
2020/7/31,159901,6.9255,0.1507,23,0.1517,0.02748,858529135,9552146857,0.0193,0.136,2006/2/17,35503,5157314558,422260
2020/8/31,159901,7.0411,0.0164,21,0.0193,0.021438,611540953,9736028103,-0.0582,0.1517,2006/2/17,35503,5157314558,422260
2020/9/30,159901,6.6407,-0.0559,22,-0.0582,0.015594,466015281,8174855660,0.051,0.0193,2006/2/17,35503,5157314558,422260
2020/10/30,159901,6.9805,0.0503,16,0.051,0.01661,360991147,8591487327,0.0366,-0.0582,2006/2/17,35503,5157314558,422260
2020/11/30,159901,7.2229,0.0341,21,0.0366,0.017992,513248725,8905810034,0.0876,0.051,2006/2/17,35503,5157314558,422260
2020/3/31,159902,3.183,-0.1005,22,-0.1027,0.025611,341136519,2256480778,0.0953,0.0287,2006/5/19,89049,3965335792,631466.25
2020/4/30,159902,3.468,0.0863,21,0.0953,0.017579,223510807,2471552711,-0.0144,-0.1027,2006/5/19,89049,3965335792,631466.25
2020/5/29,159902,3.433,-0.0098,18,-0.0144,0.01573,171427833,2436062293,0.148,0.0953,2006/5/19,89049,3965335792,631466.25
2020/6/30,159902,3.941,0.143,20,0.148,0.014407,174456026,2601033218,0.1365,-0.0144,2006/5/19,89049,3965335792,631466.25
